seq,payload_bytes,client_send_ns,client_recv_ns,rtt_ms,server_recv_ns,server_send_ns,server_proc_ms,throughput_bps,jitter_ms
71,1024,498071449993,498074116198,2.666205,585451800832,585452105117,0.304285,3072531.93,0.743821
72,1024,498083436488,498088907299,5.470811,585465565042,585466531410,0.966368,1497401.39,2.804606
73,1024,498100822482,498110409598,9.587116,585482863899,585488485855,5.621956,854480.12,4.116305
74,1024,498118514231,498121366757,2.852526,585499067539,585499586945,0.519406,2871840.61,6.734590
75,1024,498135094429,498138312911,3.218482,585516276492,585516718938,0.442446,2545299.31,0.365956
76,1024,498149153533,498152232192,3.078659,585530427805,585530716466,0.288661,2660898.79,0.139823
77,1024,498159237068,498161082927,1.845859,585539426642,585539666945,0.240303,4438042.13,1.232800
78,1024,498168135405,498172160241,4.024836,585548829225,585550119980,1.290755,2035362.43,2.178977
79,1024,498179804483,498182192722,2.388239,585559921901,585560424651,0.502750,3430142.46,1.636597
80,1024,498190575549,498193396829,2.821280,585571550868,585571938733,0.387865,2903646.57,0.433041
81,1024,498208114126,498212135007,4.020881,585589073408,585590359278,1.285870,2037364.45,1.199601
82,1024,498218875916,498221572978,2.697062,585599080456,585600156564,1.076108,3037379.19,1.323819
83,1024,498232108842,498234647419,2.538577,585612629022,585613094292,0.465270,3227004.74,0.158485
84,1024,498242452690,498244097237,1.644547,585622232163,585622545288,0.313125,4981310.96,0.894030
85,1024,498253240249,498256095610,2.855361,585633682550,585634100468,0.417918,2868989.25,1.210814
86,1024,498264459014,498267078873,2.619859,585644970251,585645554386,0.584135,3126885.84,0.235502
87,1024,498274165055,498276628785,2.463730,585654652325,585654987758,0.335433,3325039.68,0.156129
88,1024,498282862291,498285179419,2.317128,585663545846,585663815438,0.269592,3535411.08,0.146602
89,1024,498291605027,498293244261,1.639234,585671583785,585671808232,0.224447,4997456.13,0.677894
90,1024,498301856427,498303613401,1.756974,585681923403,585682193820,0.270417,4662561.88,0.117740
91,1024,498310532480,498312262716,1.730236,585690523731,585690771824,0.248093,4734614.24,0.026738
92,1024,498322070195,498325234082,3.163887,585702349910,585703273071,0.923161,2589220.16,1.433651
93,1024,498332021731,498334481044,2.459313,585712417702,585712933576,0.515874,3331011.55,0.704574
94,1024,498340449391,498342020838,1.571447,585720448888,585720791350,0.342462,5213029.77,0.887866
95,1024,498348143130,498349791578,1.648448,585728322592,585728547254,0.224662,4969522.85,0.077001
96,1024,498355024100,498356326923,1.302823,585734812090,585735094473,0.282383,6287884.08,0.345625
97,1024,498362463820,498364540911,2.077091,585742946209,585743274295,0.328086,3943977.42,0.774268
98,1024,498370635054,498373759092,3.124038,585751685055,585752558706,0.873651,2622247.23,1.046947
99,1024,498386409993,498388484655,2.074662,585766939932,585767281298,0.341366,3948595.00,1.049376
100,1024,498394156919,498395883327,1.726408,585774306001,585774672509,0.366508,4745112.40,0.348254
